,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
313256,Salary Adjustments,Special Education,NaN,NaN,NaN,General,Special Education,NaN,Instruction,NaN,NaN,3.34E+05,NaN,NaN,IDEA-B Preschool,NaN
174977,NONCAPITALIZED  REMOD/RENOV,NaN,NaN,NaN,NaN,NaN,TRANSPORTATION,NaN,FACILITIES ACQ AND CONST,NaN,NaN,1.12E+02,NaN,NaN,MILLAGE,MINOR RENOVATIONS-Host Bgt
19728,Salaries for Support Personnel,Prekindergarten,NaN,CLERK IV- SCH,NaN,General,Prekindergarten Demonstration School,1,School Leadership,NaN,NaN,2.98E+04,NaN,NaN,General Fund,NaN
409983,Miscellaneous Contracted Srvcs,Undistributed,NaN,NaN,NaN,Laundry,School,NaN,Food Services,NaN,NaN,4.20E+02,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
444847,SALARIES OF REGULAR EMPLOYEES,LITERACY COACHES,LEVY OVERRIDE,"Facilitator,Sec Humanities",NaN,NaN,NaN,0.754744,FACILITATOR,PROFESSIONAL-INSTRUCTIONAL,NaN,5.15E+04,NaN,Regular,NaN,INSTRUCTIONAL STAFF
248053,EMPLOYEE BENEFITS,SPECIAL EDUCATION-EI'S,GENERAL FUND,Tutor Interpreter,NaN,NaN,NaN,NaN,SPECIAL ED. - SEVERE NEEDS,OFFICE/ADMINISTRATIVE SUPPORT,NaN,8.21E+02,SEVERE DISABILITIES,Regular,NaN,SPECIAL EDUCATION
258444,Electronic Media,NaN,Support Services--Pupils,NaN,NaN,"Newspapers, Periodicals, Films And Filmstrips *",NaN,NaN,Speech Pathology Services,NaN,NaN,-7.60E-01,NaN,NaN,General,SPEECH CORRECTION
315619,Professional Salaries,State Comp.Ed.-Support Title I Campuses,NaN,T-EL BIL RD,NaN,General,School,1,Instruction,NaN,NaN,6.74E+04,NaN,NaN,Title I- Part A,NaN
268688,Salaries And Wages For Teachers And Other Professi,Bilingual Education And Special Language Programs,Operations,"TEACHER, BILINGUAL EDUCATION",All Campus Payroll,Critical Needs Incentive,School,NaN,Instruction,TEACHER BACHELOR,NaN,4.17E+03,NaN,NaN,General Operating Fund,CRITICAL NEEDS SUPPLEMENT
169952,Employee Allowance,Undistributed,NaN,TRAVEL,NaN,General,School,NaN,School Leadership,NaN,NaN,7.08E+02,NaN,NaN,General Fund,NaN
388775,SUPPLIES,VOCATIONAL LABORATORY PROGRAM 9-12,VOCATIONAL LABORATORY PROGRAM 9-12,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,2.78E+02,NaN,NaN,General Fund,NaN
436757,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,ARRA - STIMULUS,"Teacher, Elementary",NaN,NaN,NaN,NaN,TITLE I A - ARRA,PROFESSIONAL-INSTRUCTIONAL,NaN,4.59E+03,NaN,Regular,NaN,REGULAR INSTRUCTION
434023,Reproduction Services,Undistributed,NaN,NaN,NaN,General,Visual Arts,NaN,Instructional Leadership,NaN,NaN,1.49E+03,NaN,NaN,General Fund,NaN
220102,Personal Services - Employees Salaries and Wages,NaN,Support Services - Instructional Staff,NaN,NaN,Personal Services - Employees Salaries And Wages,NaN,NaN,Instructional Staff Training Services *,NaN,NaN,1.94E+05,NaN,NaN,Title I - Disadvantaged Children/Targeted Assistance,PD-DI
207305,Salaries for Support Personnel,Special Education,NaN,TCHR ASST- SP E,NaN,General,School,1,Instruction,NaN,NaN,3.52E+04,NaN,NaN,General Fund,NaN
30100,Salaries And Wages For Teachers And Other Professi,Athletics And Related Activities,Operations,"TEACHER, REGULAR",All Campus Payroll,Extra Duty Wages,School,NaN,Extracurricular Activities,TEACHER BACHELOR,NaN,4.81E+03,NaN,NaN,General Operating Fund,EX-CURR ATHLETIC
199127,Salaries for Support Personnel,Special Education,NaN,ACCTG TECH II,NaN,General,Center,1,School Leadership,NaN,NaN,4.45E+04,NaN,NaN,General Fund,NaN
98933,Professional Salaries,Undistributed,NaN,COUNS- HS,NaN,General,School,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,6.04E+04,NaN,NaN,General Fund,NaN
320715,Professional Salaries,Bilingual Education,NaN,T-EL 3RD ESL,NaN,General,School,1,Instruction,NaN,NaN,5.29E+04,NaN,NaN,General Fund,NaN
304410,NaN,NaN,LOCAL,SPEECH PATHOLOGIST,NaN,NaN,RELATED SERVICES,1,NaN,NaN,NaN,1.20E+05,SPECIAL EDUCATION INSTRUCTION,NaN,NaN,NaN
123833,Professional Salaries,State Comp.Ed.-Support Title I Campuses,NaN,MATH,NaN,General,School,1,Instruction,NaN,NaN,5.52E+04,NaN,NaN,Title I- Part A,NaN
283779,EMPLOYEE BENEFITS,NURSING SERVICES,GENERAL FUND,Nurse,NaN,NaN,NaN,NaN,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,4.75E+03,NaN,Regular,NaN,STUDENTS
236448,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,ARRA - STIMULUS,"Teacher, Summer Intern",NaN,NaN,ALL SCHOOLS-UNDISTRIBUTED,NaN,TITLE I A - ARRA,PROFESSIONAL-INSTRUCTIONAL,NaN,6.11E+00,NaN,n/a,NaN,REGULAR INSTRUCTION
14997,Subs for Support Personnel,Undistributed,NaN,FOOD PROD SUB,NaN,General,Food Service,NaN,Food Services,NaN,NaN,3.77E+01,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
127819,Salaries for Support Personnel,NaN,NaN,Grounds Equipment Operator,NaN,NaN,Service Center Bldg & Grounds,1,NaN,NaN,NaN,3.50E+04,NaN,NaN,General Fund,NaN
377711,Regular *,NaN,Support Services - Instructional Staff,PARA (AUT/MD),NaN,NaN,EN CLASSIFIED SLRY/HRLY/DA,1,Classroom Support - Special Education Aides *,NaN,NaN,4.86E+04,PARAPROF,NaN,General,SCHOOL BASED MANAGEMENT
442518,Professional Salaries,Bilingual Education,NaN,T-EL KIN BIL,NaN,General,School,1,Instruction,NaN,NaN,5.32E+04,NaN,NaN,General Fund,NaN
258051,SALARIES FOR OVERTIME,FOOD PREPARATION/SERVING,FOOD SERVICE FUND,"Manager, Food Service II",NaN,NaN,NaN,NaN,NON-PROJECT,"CRAFTS, TRADES, AND SERVICES",NaN,6.19E+00,FOOD SERVICES,Regular,NaN,FOOD SERVICES OPERATIONS
19704,EMPLOYEE BENEFITS,INSTRUCTIONAL STAFF TRAINING,ARRA - STIMULUS,"Teacher,Retrd Shrt Term Sub",NaN,NaN,NaN,NaN,TITLE I A - ARRA,PROFESSIONAL-INSTRUCTIONAL,NaN,2.22E+00,TEACHER LEARNING & LEADERSHIP,Regular,NaN,INSTRUCTIONAL STAFF
406288,SALARIES OF PART TIME EMPLOYEE,GENERAL HIGH SCHOOL EDUCATION,GENERAL FUND,"Teacher,Retrd Shrt Term Sub",NaN,NaN,NaN,0.00431,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,NaN,1.29E+02,TEACHER SUBS,Alternative,NaN,REGULAR INSTRUCTION
311868,Employee Allowance,Undistributed,NaN,CELL PHONE,NaN,Mobile Phone,Network Support,NaN,Data Processing Services,NaN,NaN,5.25E+02,NaN,NaN,General Fund,NaN
37192,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Coordinator, Central Curr",NaN,NaN,ENGLISH FOR SPEAKERS OF OTHER,NaN,NON-PROJECT,UNDESIGNATED,NaN,-6.15E+02,NaN,n/a,NaN,EMPLOYEE BENEFITS
164463,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,District Buyer I,NaN,NaN,MATERIALS MANAGEMENT,NaN,NON-PROJECT,UNDESIGNATED,NaN,-9.66E+02,NaN,n/a,NaN,EMPLOYEE BENEFITS
56756,General Supplies,Basic Educational Services,NaN,NaN,NaN,English,School,NaN,Instruction,NaN,NaN,NaN,NaN,NaN,General Fund,NaN
222333,Personal Services - Teachers,Instruction - Regular,NaN,NaN,NaN,NaN,NaN,0,NaN,TIME CARD CERTIFIEDAddl,Alternative Schools Instruction,1.75E+02,NaN,NaN,General Purpose School,NaN
276833,REPAIR AND MAINTENANCE SERVICES,Misc,MISCELLANEOUS,NaN,NaN,NaN,ADMIN. SERVICES,NaN,IMPROVEMENT OF INSTR SERV,NaN,NaN,3.75E+01,NaN,NaN,General Fund,NaN
100866,BOOKS (OTHER THAN TEXTBOOKS) AND PERIODICALS,MEDIA CENTERS,MEDIA CENTERS,NaN,NaN,NaN,NaN,NaN,EDUCATIONAL MEDIA SERVICE,NaN,NaN,6.88E+02,NaN,NaN,General Fund,NaN
74764,Extra Duty/Signing Bonus Pay,High School Allotment,NaN,NaN,NaN,General,School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,6.08E+04,NaN,NaN,General Fund,NaN
63185,EMPLOYEE BENEFITS,TRANSPORTATION-OPERATIONS,GENERAL FUND,Bus Driver - Relief,NaN,NaN,NaN,NaN,NON-PROJECT,"CRAFTS, TRADES, AND SERVICES",NaN,4.54E+03,TRANSPORTATION,n/a,NaN,STUDENT TRANSPORTATION
338963,WORKSHOP PARTICIPANT,COMMON CORE STATE STANDARDS,NaN,"TEACHER, FOURTH",USING DATA HUMAN CAPITAL DECIS,NaN,CHIEF ACADEMIC OFFICER,NaN,INST STAFF TRAINING SVCS,NaN,NaN,5.18E+02,NaN,NaN,ARRA - RACE TO THE TOP,RACE TO THE TOP
73385,Salaries for Support Personnel,Undistributed,NaN,FOOD PROD SP II,NaN,General,School,0.625,Food Services,NaN,NaN,1.63E+04,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
69729,Professional Salaries,Basic Educational Services,NaN,T-HS ART,NaN,General,School,0.33,Instruction,NaN,NaN,1.88E+04,NaN,NaN,General Fund,NaN
445906,Professional Salaries,Basic Educational Services,NaN,T-EL 3RD,NaN,General,School,1,Instruction,NaN,NaN,5.32E+04,NaN,NaN,General Fund,NaN
10593,Salaries for Support Personnel,Undistributed,NaN,ADMIN ASST III,NaN,General,Human Resources,1,General Administration,NaN,NaN,4.37E+04,NaN,NaN,General Fund,NaN
379000,Professional Salaries,Bilingual Education,NaN,T-EL 5TH ESL,NaN,General,School,1,Instruction,NaN,NaN,5.41E+04,NaN,NaN,General Fund,NaN
436491,Career Ladder,Basic Educational Services,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,1.64E+03,NaN,NaN,General Fund,NaN
216799,Professional Salaries,Basic Educational Services,NaN,MATH,NaN,General,School,1,Instruction,NaN,NaN,5.25E+04,NaN,NaN,General Fund,NaN
436874,Employee Allowance,Special Education,NaN,NaN,NaN,Speech Therapist,School,NaN,Instruction,NaN,NaN,3.10E-01,NaN,NaN,General Fund,NaN
207310,Health & Hygiene Supplies,NaN,Support Services--Pupils,NaN,NaN,General Supplies *,NaN,NaN,Medical Services,NaN,NaN,1.01E+02,NaN,NaN,General,SCHOOL BASED MANAGEMENT
50017,Professional Salaries,Basic Educational Services,NaN,CHOIR,NaN,Choral Music,School,0.6,Instruction,NaN,NaN,3.54E+04,NaN,NaN,General Fund,NaN
166986,Salaries for Support Personnel,Undistributed,NaN,CHILD CARE WKR,NaN,Child Care Program-After School,School,0.938,Community Services,NaN,NaN,2.79E+04,NaN,NaN,Child Care Program,NaN
120516,Salaries for Support Personnel,Undistributed,NaN,PARENT SUP SPEC,NaN,General,School,0.5,Community Services,NaN,NaN,2.17E+04,NaN,NaN,General Fund,NaN
262421,Salaries for Support Personnel,Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,School Leadership,NaN,NaN,-3.80E-01,NaN,NaN,General Fund,NaN
41924,Extra Duty/Signing Bonus Pay,Bilingual Education,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,6.38E+04,NaN,NaN,General Fund,NaN
329563,RETIREMENT CONTRIB.,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher,Retrd Shrt Term Sub",NaN,NaN,NaN,NaN,EMPLOYEE RETIREMENT,UNDESIGNATED,NaN,1.10E+00,NaN,n/a,NaN,EMPLOYEE BENEFITS
305305,Professional Salaries,Special Education,NaN,T-ML/SE MULT HD,NaN,General,State Hospital,1,Instruction,NaN,NaN,6.43E+04,NaN,NaN,General Fund,NaN
158231,Professional Salaries,Basic Educational Services,NaN,T-EL KIN,NaN,General,NaN,1,Instruction,NaN,NaN,5.26E+04,NaN,NaN,General Fund,NaN
380238,General Supplies,Special Education,NaN,NaN,NaN,Special Education,School,NaN,Instruction,NaN,NaN,1.65E+02,NaN,NaN,IDEA-B Formula,NaN
362879,Salaries for Support Personnel,Undistributed,NaN,FOOD PROD SP II,NaN,General,School,0.75,Food Services,NaN,NaN,2.05E+04,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
78142,Misc Operating Expenses,Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,1.00E+03,NaN,NaN,General Fund,NaN
165618,SUPPLIES,MEDIA CENTERS,MEDIA CENTERS,NaN,NaN,NaN,NaN,NaN,EDUCATIONAL MEDIA SERVICE,NaN,NaN,3.51E+01,NaN,NaN,General Fund,NaN
348556,Salaries for Support Personnel,Special Education,NaN,TCHR ASST- SP E,NaN,General,School,1,Instruction,NaN,NaN,3.00E+04,NaN,NaN,General Fund,NaN
252154,Salaries for Support Personnel,Undistributed,NaN,FOOD PROD SPIII,NaN,General,School,0.875,Food Services,NaN,NaN,2.34E+04,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
118889,Employee Allowance,Undistributed,NaN,CELL PHONE,NaN,Mobile Phone,District Police,NaN,Security & Monitoring Servicess,NaN,NaN,8.27E+02,NaN,NaN,Campus Police,NaN
240776,NaN,MIDDLE SCHOOL PROGRAM  6-8,NaN,Teacher-Music,NaN,NaN,NaN,1,NaN,MS INSTRUMENTAL MUSIC,NaN,7.43E+04,NaN,NaN,General Fund,NaN
375834,Extra Duty/Signing Bonus Pay,Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,4.05E+03,NaN,NaN,General Fund,NaN
196371,Professional Services,Career and Technology,NaN,NaN,NaN,Agriculture,School,NaN,Instruction,NaN,NaN,1.11E+04,NaN,NaN,General Fund,NaN
331855,General Supplies,Basic Educational Services,NaN,NaN,NaN,Band,School,NaN,Instruction,NaN,NaN,3.48E+03,NaN,NaN,General Fund,NaN
88286,PURCHASED FOOD,Misc,SCHOOL NUTRITION SERVICE,NaN,NaN,NaN,NaN,NaN,SCHOOL NUTRITION,NaN,NaN,2.26E+03,NaN,NaN,School Nutrition Service Fund,NaN
230095,Salaries for Support Personnel,Undistributed,NaN,HEAD CUST I,NaN,General,School,1,Plant Maintenance & Operations,NaN,NaN,4.76E+04,NaN,NaN,General Fund,NaN
33472,EMPLOYEE BENEFITS,GENERAL HIGH SCHOOL EDUCATION,GENERAL FUND,"Teacher, Short Term Sub",NaN,NaN,NaN,NaN,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,NaN,3.95E+00,TEACHER SUBS,Regular,NaN,REGULAR INSTRUCTION
219038,Career Ladder,Basic Educational Services,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,1.64E+03,NaN,NaN,General Fund,NaN
189508,Employee Allowance,Special Education,NaN,CELL PHONE,NaN,Mobile Phone,Special Education,NaN,Instructional Leadership,NaN,NaN,5.24E+02,NaN,NaN,General Fund,NaN
344894,Professional Salaries,Bilingual Education,NaN,T-EL 2ND ESL,NaN,General,School,1,Instruction,NaN,NaN,5.29E+04,NaN,NaN,General Fund,NaN
258895,Extra Duty/Signing Bonus Pay,Basic Educational Services,NaN,EXTRA CLASS,NaN,General,School,NaN,Instruction,NaN,NaN,8.25E+03,NaN,NaN,General Fund,NaN
4163,GASOLINE,NaN,NaN,NaN,NaN,NaN,TRANSPORTATION,0,PUPIL TRANSPORTATION SERVICES,NaN,NaN,1.61E+05,NaN,NaN,GENERAL FUND,TRANSPORTATION
331546,Other Miscellaneous,NaN,Support Services - Instructional Staff,NaN,NaN,Other Miscellaneous Expenditures *,NaN,NaN,Instructional Staff Training Services *,NaN,NaN,-5.65E+02,NaN,NaN,Title I - Disadvantaged Children/Targeted Assistance,TITLE I SCHOOL IMPROVEMEN
414566,Classroom Supplies,NaN,Special Instruction,NaN,NaN,General Supplies *,NaN,NaN,Disadvantaged Youth *,NaN,NaN,-1.25E+04,NaN,NaN,Title I - Disadvantaged Children/Targeted Assistance,TITLE I PUBLIC ALLOCATION
344247,SALARIES OF PART TIME EMPLOYEE,GENERAL HIGH SCHOOL EDUCATION,GENERAL FUND,"Teacher, Super Sub Rtd D/D",NaN,NaN,NaN,0.017241,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,NaN,7.24E+02,TEACHER SUBS,Turnaround,NaN,REGULAR INSTRUCTION
293044,Professional Salaries,Special Education,NaN,T-EL/SE LIFE SK,NaN,General,School,1,Instruction,NaN,NaN,5.30E+04,NaN,NaN,General Fund,NaN
401767,Employee Allowance,Undistributed,NaN,CELL PHONE,NaN,Mobile Phone,School,NaN,School Leadership,NaN,NaN,5.24E+02,NaN,NaN,General Fund,NaN
213322,Salaries And Wages For Teachers And Other Professi,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""","TEACHER, REGULAR",Instruction And Curriculum,Extended Day,School,NaN,Instruction,TEACHER BACHELOR,NaN,5.23E+01,NaN,NaN,"""Title  Part A Improving Basic Programs""",MISCELLANEOUS
88180,Professional Salaries,Accelerated Education,NaN,T-EL BIL LIT CO,NaN,Reading Literacy,School,0.5,Instruction,NaN,NaN,2.69E+04,NaN,NaN,General Fund,NaN
91435,SMALL KITCHEN SUPPLIES,FOOD PREPARATION/SERVING,FOOD SERVICE FUND,(blank),NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,6.71E+02,FOOD SERVICES,Regular,NaN,FOOD SERVICES OPERATIONS
383391,BOOKS AND PERIODICALS,GENERAL K-8 EDUCATION,MILL LEVY,(blank),NaN,NaN,NaN,NaN,ALL DAY KINDERGARTEN,UNDESIGNATED,NaN,4.79E+02,NaN,Regular,NaN,REGULAR INSTRUCTION
347019,Professional Salaries,Special Education,NaN,T-HS/SE SCORES,NaN,General,School,0.5,Instruction,NaN,NaN,2.65E+04,NaN,NaN,General Fund,NaN
314112,Regular *,NaN,Support Services - Administration,NaN,NaN,Non-Certificated Salaries And Wages,NaN,NaN,State and Federal Projects Coordination Services*,NaN,NaN,-3.41E+04,NaN,NaN,Improving Teacher Quality,T IIA TEACHER QUALTY
281404,MILEAGE REIMBURSEMENT,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,(blank),NaN,NaN,ES TEAM,NaN,NON-PROJECT,UNDESIGNATED,NaN,3.38E+03,INSTRUCTIONAL SUPPORT TEAMS,n/a,NaN,INSTRUCTIONAL STAFF
129536,Professional Salaries,State Comp.Ed.-Support Title I Campuses,NaN,MS ASST PRIN,NaN,General,School,0.33,School Leadership,NaN,NaN,2.48E+04,NaN,NaN,Title I- Part A,NaN
11536,RETIREMENT CONTRIB.,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Hrly",NaN,NaN,FEDERAL PROG-PRIVATE SCHOOLS,NaN,EMPLOYEE RETIREMENT,UNDESIGNATED,NaN,1.26E+02,NaN,n/a,NaN,EMPLOYEE BENEFITS
235227,Extra Duty/Signing Bonus Pay,Undistributed,NaN,DEPT CHAIR,NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,6.04E+03,NaN,NaN,General Fund,NaN
119853,Supplies and Materials,NaN,Regular Instruction,NaN,NaN,Supplies And Materials,NaN,NaN,Middle/Junior High,NaN,NaN,NaN,NaN,NaN,Special Trust,CHARACTER ED MINI PILOT
390598,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Short Term Sub",NaN,NaN,NaN,NaN,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,NaN,7.44E+00,TEACHER SUBS,Regular,NaN,REGULAR INSTRUCTION
180891,Electronic Media,NaN,Support Services - Instructional Staff,NaN,NaN,"Newspapers, Periodicals, Films And Filmstrips *",NaN,NaN,School Library Services *,NaN,NaN,3.20E+02,NaN,NaN,General,SCHOOL BASED MANAGEMENT
209680,Professional Salaries,Bilingual Education,NaN,T-EL 4TH ESL,NaN,General,School,1,Instruction,NaN,NaN,5.32E+04,NaN,NaN,General Fund,NaN
306370,Rentals,NaN,Sport Oriented Activities,NaN,NaN,Property Services (Other Than Utilities) *,NaN,NaN,Mixed Sports *,NaN,NaN,-7.00E-02,NaN,NaN,General,EXTRACURRICULAR ACTIVITY
440564,PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE,Misc,MISCELLANEOUS,NaN,NaN,NaN,ADMIN. SERVICES,NaN,SUPPORT SERVICES-CENTRAL,NaN,NaN,3.81E+03,NaN,NaN,General Fund,NaN
421769,General Supplies,Athletics and Related,NaN,NaN,NaN,Boys Football,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,1.22E+04,NaN,NaN,Athletics,NaN
208866,Instructional Materials,Basic Educational Services,NaN,NaN,Textbook Department,Instructional Materials,School,NaN,Instruction,NaN,Basic Educational Services - District Objective,2.64E+04,NaN,NaN,State Textbook Fund,NaN
134807,Non Food,Undistributed,NaN,NaN,NaN,General,School,NaN,Food Services,NaN,NaN,4.82E+03,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
329861,EMPLOYEE BENEFITS,STAFF SERVICES,GENERAL FUND,"Teacher, Elementary",NaN,NaN,PERSONNEL-PAID LEAVE,NaN,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,NaN,UNASSIGNED PERS/PAID LEAVES,n/a,NaN,CENTRAL
221943,Career Ladder,Special Education,NaN,CL,NaN,General,State Hospital,NaN,Instruction,NaN,NaN,3.28E+03,NaN,NaN,General Fund,NaN
187293,Extra Duty/Signing Bonus Pay,Undistributed,NaN,NaN,NaN,General,Office of Innovation and Development,NaN,General Administration,NaN,NaN,2.50E-01,NaN,NaN,General Fund,NaN
331464,Salaries for Support Personnel,Undistributed,NaN,FOOD PROD SP II,NaN,General,School,0.5,Food Services,NaN,NaN,1.37E+04,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
99486,General Supplies,Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Community Services,NaN,NaN,1.17E+00,NaN,NaN,General Fund,NaN
251292,NON-CAPITAL EQUIPMENT,GENERAL ELEMENTARY EDUCATION,BOND,(blank),NaN,NaN,NaN,NaN,ED TECH  GOB,UNDESIGNATED,NaN,7.80E+03,NaN,Regular,NaN,REGULAR INSTRUCTION
231170,Employee Allowance,Undistributed,NaN,CELL PHONE,NaN,Mobile Phone,Network Support,NaN,Data Processing Services,NaN,NaN,5.25E+02,NaN,NaN,General Fund,NaN
35644,Professional Salaries,Basic Educational Services,NaN,AD SOC SC,NaN,General,School,1,Instruction,NaN,NaN,5.76E+04,NaN,NaN,General Fund,NaN
70585,Professional Salaries,Undistributed,NaN,COUNS- MS,NaN,General,School,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,6.92E+04,NaN,NaN,General Fund,NaN
188581,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Elementary",NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-1.42E+02,NaN,n/a,NaN,EMPLOYEE BENEFITS
10718,Food/Refreshment,Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,1.50E+03,NaN,NaN,General Fund,NaN
21218,Salaries for Support Personnel,Undistributed,NaN,FOOD PROD SP IV,NaN,General,School,0.75,Food Services,NaN,NaN,2.15E+04,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
3148,Professional Salaries,Bilingual Education,NaN,T-EL 3RD BIL,NaN,General,School,1,Instruction,NaN,NaN,5.32E+04,NaN,NaN,General Fund,NaN
275347,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Short Term Sub",NaN,NaN,NaN,NaN,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,NaN,6.71E+00,TEACHER SUBS,Regular,NaN,REGULAR INSTRUCTION
33606,Salaries for Support Personnel,Special Education,NaN,TCHR ASST- SP E,NaN,General,Secondary Alternative Learning Center,1,Instruction,NaN,NaN,3.32E+04,NaN,NaN,General Fund,NaN
157015,Salaries Or Wages For Support Personnel,PRE-K,State Ed. Allotment,"CLASSROOM AIDE, PRE-K",All Campus Payroll,Salaries Or Wages For Support Personnel,School,NaN,Instruction,AIDE,NaN,9.74E+02,NaN,NaN,General Operating Fund,REGULAR PAY
377767,Substitute for Other Professionals,Undistributed,NaN,NaN,NaN,General,School,NaN,School Leadership,NaN,NaN,3.28E+03,NaN,NaN,General Fund,NaN
310092,Professional Salaries,Bilingual Education,NaN,T-EL 2ND BIL,NaN,General,School,1,Instruction,NaN,NaN,5.30E+04,NaN,NaN,General Fund,NaN
397517,Salaries And Wages For Teachers And Other Professi,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""","TEACHER, REGULAR",Instruction And Curriculum,Extended Day,School,NaN,Instruction,TEACHER BACHELOR,NaN,6.44E+01,NaN,NaN,"""Title  Part A Improving Basic Programs""",EXTENDED DAYS
95799,Extra Duty/Signing Bonus Pay,Prekindergarten,NaN,NaN,NaN,Line Item that is paid with Campus' money,Early Childhood Center,NaN,Instruction,NaN,NaN,3.12E+03,NaN,NaN,General Fund,NaN
364135,SALARIES OF REGULAR EMPLOYEES,INFORMATION SYSTEMS SERVICES,GENERAL FUND,"Specialist II, PC Apps",NaN,NaN,CUSTOMER RELATIONS MANAGEMENT,1.000004,NON-PROJECT,PROFESSIONAL-OTHER,NaN,7.72E+04,ITEMGG-CUSTOMER RELATIONS MGMT,n/a,NaN,CENTRAL
440501,Personal Services - Teachers,Instruction - CTE,NaN,NaN,NaN,NaN,NaN,1,NaN,VOC. TEACHER  DAYS,Career & Technical Instruction,1.13E+04,NaN,NaN,General Purpose School,NaN
29949,NaN,NaN,LOCAL,"TEACHER,SCIENCE,GENERAL",NaN,NaN,NaN,1,NaN,NaN,NaN,1.16E+05,GENERAL EDUCATION,NaN,NaN,NaN
209122,Salaries for Support Personnel,Special Education,NaN,TCHR ASST- SP E,NaN,General,School,1,Instruction,NaN,NaN,3.53E+04,NaN,NaN,General Fund,NaN
367739,General Supplies,State Comp.Ed.-Support Title I Campuses,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,1.00E+04,NaN,NaN,Title I- Part A,NaN
