,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
102770,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Psychologist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,NaN,GENERAL FUND,Psychologist,Regular,NaN,NaN,NaN,0.167813,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,1.19E+04,PSYCHOLOGICAL SERVICES,NaN,STUDENTS
102810,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,NaN,GENERAL FUND,Bookkeeper II,n/a,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,UNDESIGNATED,-1.24E+02,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
102863,"Finance, Budget, Purchasing & Distribution",Business Services,Shared Services,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,GENERAL LEDGER ACCOUNTING,DISTRICT SPECIAL REVENUE FUNDS,"Accountant, General I",n/a,NaN,NaN,GENERAL LEDGER ACCOUNTING,NaN,GRANT ACCOUNTING,NaN,PROFESSIONAL-OTHER,1.32E+03,FINANCIAL ACCOUNTING SERVICES,NaN,BUSINESS
102914,Aides Compensation,Instruction,Shared Services,Non-School,Special Education,TA,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,NaN,Idea Part B Formula,"CLASSROOM AIDE, SP.ED.,STR.LRN",NaN,Extra Duty Salary,Salaries Or Wages For Support Personnel,Summer School,NaN,Instruction,Instruction And Curriculum,AB AIDE,6.00E+02,Services To Students With Disabilities (Special Education),Idea Part B Formula,EXTENDED DAYS
103471,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Other Awards and Prizes,NaN,Special Instruction,NaN,NaN,NaN,Awards And Prizes *,NaN,NaN,Disadvantaged Youth *,NaN,NaN,-1.65E+02,NaN,Title I - Disadvantaged Children/Targeted Assistance,TITLE I BLDG ALLOC
103525,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,NaN,Operations,"TRANSPORTATION,BUS DRIVERS,REG",NaN,Transportation - Bus Drivers,Salaries Or Wages For Support Personnel,Undistributed,0.84,Transportation,Transportation Department,BUS DRIVER,1.65E+04,Undistributed,General Operating Fund,REGULAR PAY
104121,Curriculum Development,ISPD,School Reported,School,Unspecified,Non-Position,Supplies/Materials,Non PreK,PreK-12 Operating,Other General Supplies,NaN,Support Services - Instructional Staff,NaN,NaN,NaN,General Supplies *,NaN,NaN,Instruction And Curriculum Development Services *,NaN,NaN,-1.89E+04,NaN,Special Trust,FND-ACADEM CAP BLDG
104427,Data Processing & Information Services,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,REPAIR AND MAINTENANCE SERVICES-TECHNOLOGY RELATED,NaN,MISCELLANEOUS,NaN,NaN,NaN,NaN,ADMIN. SERVICES,NaN,INSTRUCTION,NaN,NaN,2.72E+04,Misc,General Fund,NaN
105048,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Alternative,Guidance Counselor,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,NaN,ALTERNATIVE EDUCATION,LOCAL,COUNSELOR,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1.32E+05,NaN,NaN,NaN
105852,Professional Development,ISPD,School on Central Budgets,Non-School,Unspecified,Non-Position,Base Salary/Compensation,Non PreK,PreK-12 Operating,Regular *,NaN,Other Instruction,NaN,NaN,NaN,Non-Certificated Salaries And Wages,NaN,NaN,Summer Remediation *,NaN,NaN,-9.61E+05,NaN,Special Trust,CTAG
106029,Development & Fundraising,Business Services,Leadership & Management,Non-School,Poverty,Other,Base Salary/Compensation,Non PreK,PreK-12 Operating,Regular *,ADM/PROF,Support Services - Administration,FIN SUPPORT ANA FUNDED PROG,NaN,NaN,NaN,BUDGET DIVISION,1,State and Federal Projects Coordination Services*,NaN,NaN,6.47E+04,NaN,Title I - Disadvantaged Children/Targeted Assistance,ADMIN
106038,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating,NaN,NaN,NaN,Teacher-Elementary,NaN,NaN,NaN,NaN,1,NaN,NaN,3RD GRADE,6.06E+04,PRIMARY GRADES PROGRAM,General Fund,NaN
106162,Human Resources,Business Services,Shared Services,Non-School,Unspecified,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,PERSONNEL SERVICES,LEVY OVERRIDE,Reading & Writing Asst,n/a,NaN,NaN,HUMAN RESOURCES,NaN,NON-PROJECT,NaN,PARAPROFESSIONAL,1.34E+02,STAFF SERVICES,NaN,CENTRAL
106331,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,NaN,FEDERAL GDPG FUND - FY,"Teacher, Super Sub D/D",Regular,NaN,NaN,NaN,0.00431,TITLE II-PART A-TEACHER QUALIT,NaN,PROFESSIONAL-INSTRUCTIONAL,1.66E+02,INSTRUCTIONAL STAFF TRAINING,NaN,INSTRUCTIONAL STAFF
106373,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,(Exec) Director,Base Salary/Compensation,Non PreK,PreK-12 Operating,Regular *,ADM/PROF,Support Services - Administration,INT ACADEMIC SUPERINTENDENT,NaN,NaN,Certificated Employees Salaries And Wages,CHIEF ACADEMIC OFFICER,1,Office of the Superintendent Services*,NaN,NaN,1.09E+05,NaN,General,ACADEMIC LEADERSHIP TEAM
106475,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,NaN,Operations,"TRANSPORTATION,BUS DRIVERS,REG",NaN,Transportation - Bus Drivers,Salaries Or Wages For Support Personnel,Undistributed,NaN,Transportation,Transportation Department,BUS DRIVER,3.07E+03,Undistributed,General Operating Fund,Transportation Bus Driver EX
106698,Utilities,O&M,Shared Services,Non-School,Unspecified,Non-Position,Rent/Utilities,NO_LABEL,PreK-12 Operating,TELEPHONE/FACSIMILE SERVICES,PREVENTION AND INTERVENTION,GENERAL FUND,(blank),n/a,NaN,NaN,ADMISSIONS AND STUDENT RECORDS,NaN,NON-PROJECT,NaN,UNDESIGNATED,3.80E+02,ATTENDANCE SERVICES,NaN,STUDENTS
107540,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Special Education,Guidance Counselor,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,NaN,State Deaf Education,"COUNSELOR, SPECIAL ED.",NaN,Regular Salary,Salaries And Wages For Teachers And Other Professi,School,0.11,"Guidance, Counseling And Evaluation Services",Instruction And Curriculum,SPECIAL EDUCATION COUNSELOR,7.48E+03,Services To Students With Disabilities (Special Education),State Deaf Education,REGULAR PAY
108156,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,NaN,Operations,CUSTODIAN REGULAR,NaN,NaN,Extra Duty Pay/Overtime For Support Personnel,School,NaN,Facilities Maintenance And Operations,Custodial Department,ANY CUS WHO IS NOT A SUPER,1.09E+03,Undistributed,General Operating Fund,OVERTIME
108185,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,BOOKS AND PERIODICALS,POST SECONDARY READINESS,GENERAL FUND,(blank),n/a,NaN,NaN,HS TEAM,NaN,NON-PROJECT,NaN,UNDESIGNATED,3.43E+02,INSTRUCTIONAL STAFF TRAINING,NaN,INSTRUCTIONAL STAFF
108261,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,INTEREST,NaN,NaN,NaN,NaN,NaN,NaN,DISTRICT-WIDE PROGRAMS,NaN,DEBT SERVICE,NaN,NaN,1.37E+06,NaN,COP,COP
108525,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,COMPUTER SOFTWARE,NaN,TITLE I-A ARRA OF  TARGETED ASSISTANCE,NaN,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,4.20E-01,ARRA - Title I Grants to LEAs,Title I,NaN
108572,Professional Development,ISPD,Shared Services,Non-School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT,NaN,NaN,"TEACHER, MATH-HIGH",NaN,NaN,NaN,STAFF DEV AND INSTR MEDIA,NaN,INST STAFF TRAINING SVCS,NaN,NaN,8.06E+01,NaN,GENERAL FUND,TEACHER TRAINING
108821,Professional Development,ISPD,Shared Services,Non-School,Unspecified,Vice Principal,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT,NaN,NaN,ASSISTANT PRINCIPAL I-HIGH,NaN,NaN,NaN,CHIEF ACADEMIC OFFICER,NaN,INST STAFF TRAINING SVCS,USING DATA HUMAN CAPITAL DECIS,NaN,1.05E+02,NaN,ARRA - RACE TO THE TOP,RACE TO THE TOP
108979,Physical Health & Services,NO_LABEL,School Reported,School,NO_LABEL,Nurse Aide,NO_LABEL,NO_LABEL,PreK-12 Operating,NaN,NaN,NaN,Clinic Assistant,NaN,NaN,NaN,NaN,1,NaN,NaN,CLINIC ASSISTANT,2.33E+04,NURSES,General Fund,NaN
109075,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,TA,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,NaN,GENERAL FUND,General Assignment,n/a,NaN,NaN,ES TEAM,NaN,NON-PROJECT,NaN,UNDESIGNATED,-2.36E+00,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
109523,School Administration,Leadership,School Reported,School,Unspecified,Principal,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,NaN,Operations,SCHOOL PRINCIPAL,NaN,Undistributed,Salaries And Wages For Teachers And Other Professi,School,NaN,School Leadership,All Campus Payroll,PRINCIPAL,4.17E+03,Undistributed,General Operating Fund,EX-CURR PRIN SUPPLEMENT
110085,Recruitment,ISPD,Shared Services,Non-School,Unspecified,Substitute,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,HUMAN RESOURCES RECRUITMENT,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Short Term Sub",n/a,NaN,NaN,HUMAN RESOURCES,NaN,NEW TEACHER RECRUITMENT,NaN,PROFESSIONAL-INSTRUCTIONAL,3.94E+01,SUPPORT SERVICES-INSTRUCTIONAL,NaN,INSTRUCTIONAL STAFF
110243,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,RETIREMENT CONTRIB.,NaN,GENERAL FUND,"Exec Dir, Comm Engagement",n/a,NaN,NaN,CONSTRUCTION SERVICES,NaN,EMPLOYEE RETIREMENT,NaN,UNDESIGNATED,1.12E+03,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
110406,Food Services,O&M,School on Central Budgets,Non-School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,GENERAL SUPPLIES,FOOD SERVICES,FOOD SERVICE FUND,(blank),n/a,NaN,NaN,FOOD AND NUTRITION SERVICES,NaN,NON-PROJECT,NaN,UNDESIGNATED,2.14E+04,FOOD SERVICES OPERATIONS,NaN,FOOD SERVICES OPERATIONS
110470,Aides Compensation,Instruction,School Reported,School,PreK,TA,Benefits,PreK,PreK-12 Operating,EMPLOYEE BENEFITS,NaN,DISTRICT SPECIAL REVENUE FUNDS,Early Childhood Education,Regular,NaN,NaN,NaN,NaN,TUITION BASED - ECE,NaN,PARAPROFESSIONAL,3.35E+03,EARLY CHILDHOOD,NaN,REGULAR INSTRUCTION
110550,Library & Media,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,BOOKS (OTHER THAN TEXTBOOKS) AND PERIODICALS,NaN,MEDIA CENTERS,NaN,NaN,NaN,NaN,NaN,NaN,EDUCATIONAL MEDIA SERVICE,NaN,NaN,8.76E+02,MEDIA CENTERS,General Fund,NaN
110638,Library & Media,Instruction,School Reported,School,Unspecified,Librarian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,NaN,LEVY OVERRIDE,"Teacher, Librarian H S",Alternative,NaN,NaN,NaN,NaN,FACILITATOR,NaN,PROFESSIONAL-INSTRUCTIONAL,1.52E+03,LITERACY COACHES,NaN,INSTRUCTIONAL STAFF
111637,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,NaN,GENERAL FUND,"Teacher, Elementary",Regular,NaN,NaN,NaN,NaN,ELA S - TEACHING SPANISH ONLY,NaN,PROFESSIONAL-INSTRUCTIONAL,1.01E+03,GENERAL ELEMENTARY EDUCATION,NaN,REGULAR INSTRUCTION
111954,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Speech Therapist,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,NaN,GENERAL FUND,Speech Language Pathologst,n/a,NaN,NaN,SPECIAL EDUCATION,NaN,NON-PROJECT,NaN,UNDESIGNATED,-1.37E+03,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
112031,Untracked Budget Set-Aside,Untracked Budget Set-Aside,School on Central Budgets,Non-School,Unspecified,Teacher,Benefits,Non PreK,PreK-12 Operating,Group Health And Life Insurance,NaN,Operations,NaN,NaN,Basic Educational Services - District Objective,Group Health And Life Insurance,Undistributed,NaN,Instruction,Campus Overtime,TEACHER MASTER,3.31E+02,Basic Educational Services,General Operating Fund,EMPLOYER MEDICAL FRINGE
112134,Legal,Business Services,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,LEGAL SERVICES,GENERAL FUND,Deputy General Counsel,n/a,NaN,NaN,SCHOOL ATTORNEY,0.997662,NON-PROJECT,NaN,ADMINISTRATOR,1.21E+05,LEGAL SERVICES,NaN,GENERAL ADMINISTRATION
112573,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Purchased Services,NaN,Support Services - Instructional Staff,NaN,NaN,NaN,Purchased Services,NaN,NaN,Instruction And Curriculum Development Services *,NaN,NaN,3.35E+03,NaN,Special Trust,FOUNDATION
112671,Insurance,Business Services,School Reported,School,Unspecified,NO_LABEL,Other Non-Compensation,Non PreK,PreK-12 Operating,Insurance And Bonding Costs,NaN,NaN,NaN,NaN,Undistributed,Insurance And Bonding Costs,School,NaN,School Leadership,NaN,NaN,7.15E+01,Undistributed,General Operating Fund,NaN
112898,Other Non-Compensation,Instruction,School Reported,School,Unspecified,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating,IN-COUNTY TRAVEL,NaN,NaN,NaN,NaN,NaN,NaN,School,NaN,INST & CURRICULUM DEV SVCS,NaN,NaN,4.40E+02,NaN,GENERAL FUND,VIRTUAL INSTRUCTION PGM
113224,Professional Development,ISPD,School Reported,School,Unspecified,Instructional Coach,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,NaN,GENERAL FUND,"Facilitator, Elem Math/Sci",Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,5.60E+02,INSTRUCT STAFF TRAINING MATH,NaN,INSTRUCTIONAL STAFF
113296,Governance,Leadership,Leadership & Management,Non-School,Unspecified,(Exec) Director,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Other Personnel,NaN,NaN,BOARD MEMBER DISTRICT,NaN,Board of Education,NaN,NaN,1,NaN,NaN,BOARD MEMBER,2.33E+04,District Administration,General Purpose School,NaN
113302,Extended Time & Tutoring,Instruction,School on Central Budgets,Non-School,Unspecified,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,NaN,AFTERSCHOOL PROGRAMS,"SUMMER ED, ARTS & SPORTS - SEAS",Aide (Afterschool),NaN,NaN,NaN,OFC COM & ED PROG-AFTER SCHOOL AIDES,0.025,NaN,NaN,NaN,1.08E+03,NaN,NaN,NaN
113484,Extended Time & Tutoring,Instruction,Shared Services,Non-School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,NaN,SPECIAL EDUCATION SUMMER SCHOOL,LOCAL,Aide (Summer School),NaN,NaN,NaN,SCHOOL SUPPORT,0.048,NaN,NaN,NaN,1.23E+03,NaN,NaN,NaN
113669,Governance,Leadership,Leadership & Management,Non-School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,NON-CAPITALIZED COMPUTER HARDW,NaN,NaN,NaN,NaN,NaN,NaN,BOARD,NaN,ADMIN TECHNOLOGY SVCS,NaN,NaN,2.14E+01,NaN,GENERAL FUND,COMPUTER REPAIR/REPL
113698,Untracked Budget Set-Aside,Untracked Budget Set-Aside,Shared Services,Non-School,Unspecified,Non-Position,Other Non-Compensation,Non PreK,PreK-12 Operating,Other Objects,NaN,Support Services - Instructional Staff,NaN,NaN,NaN,Other Objects,NaN,NaN,Other Improvements Of Instruction Services *,NaN,NaN,1.77E+04,NaN,Special Trust,COMMUNITIES
113744,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Regular *,NaN,Special Instruction,NaN,NaN,NaN,Certificated Employees Salaries And Wages,NaN,NaN,Disadvantaged Youth *,NaN,NaN,-1.38E+05,NaN,Title I - Disadvantaged Children/Targeted Assistance,TITLE I PUBLIC SALARIES
113991,Human Resources,Business Services,Leadership & Management,Non-School,Unspecified,Sec/Clerk/Other Admin,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,BONUSES,NaN,NaN,SECRETARY II,NaN,NaN,NaN,COMPENSATION & EMPLOY RELATION,NaN,STAFF SERVICES,NaN,NaN,1.73E+02,NaN,GENERAL FUND,CLASSIFIED CLERICAL BONUS
114321,Utilities,O&M,Shared Services,Non-School,Unspecified,Non-Position,Rent/Utilities,NO_LABEL,PreK-12 Operating,TELEPHONE/FACSIMILE SERVICES,SAFETY AND SECURITY,GENERAL FUND,(blank),n/a,NaN,NaN,SAFETY AND SECURITY,NaN,SAFETY & SECURITY,NaN,UNDESIGNATED,1.72E+04,SECURITY SERVICES,NaN,OPERATION AND MAINT OF PLANT
114392,Substitute Compensation,Instruction,School Reported,School,Special Education,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Substitute Teachers Certified,NaN,NaN,NaN,NaN,Special Education Instruction,NaN,NaN,0,NaN,NaN,SUBSTITUTE TEACHER,5.66E+02,Instruction - SPED,General Purpose School,NaN
114401,Food Services,O&M,School on Central Budgets,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,FOOD SERVICES,FOOD SERVICE FUND,Food Service Worker I,n/a,NaN,NaN,FOOD AND NUTRITION SERVICES,NaN,NON-PROJECT,NaN,"CRAFTS, TRADES, AND SERVICES",4.60E-01,FOOD PREPARATION/SERVING,NaN,FOOD SERVICES OPERATIONS
114594,School Administration,Leadership,School Reported,School,Unspecified,Vice Principal,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,NaN,GENERAL FUND,"Principal, Asst High Sch",Regular,NaN,NaN,NaN,0.999052,NON-PROJECT,NaN,ADMINISTRATOR,9.27E+04,SUPPORT SERVICES-SCHOOL ADMIN,NaN,SCHOOL ADMINISTRATION
114754,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Garbage Removal and Cleaning Services,NaN,Food Service Operations,NaN,NaN,NaN,Property Services (Other Than Utilities) *,NaN,NaN,"Food Purchasing, Preparation And Dispensing Services *",NaN,NaN,-4.00E-02,NaN,Food Services,ELEM BREAKFAST
115021,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,BOOKS AND PERIODICALS,EDUCATIONAL RESOURCE SERVICES,LEVY OVERRIDE,(blank),Regular,NaN,NaN,NaN,NaN,SCHOOL LIBRARY MATERIALS,NaN,UNDESIGNATED,4.61E+03,GENERAL MIDDLE/JUNIOR HIGH SCH,NaN,REGULAR INSTRUCTION
115058,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Nurse,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,NaN,GENERAL FUND,Nurse,n/a,NaN,NaN,SCHOOL NURSE SERVICES,NaN,EMPLOYEE RETIREMENT,NaN,UNDESIGNATED,8.79E+02,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
115324,Social & Emotional,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Psychologist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,STUDENT SERVICES CHARTER SCHOO,GENERAL FUND,Psychologist,n/a,NaN,NaN,PSYCHOLOGICAL SERVICES,0.193321,STUDENT SERVICES/CHARTER SCHLS,NaN,PROFESSIONAL-INSTRUCTIONAL,NaN,PSYCHOLOGICAL SERVICES,NaN,STUDENTS
115445,Curriculum Development,ISPD,Leadership & Management,Non-School,Unspecified,Principal,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,NaN,FEDERAL GDPG FUND - FY,"Principal, Elementary",n/a,NaN,NaN,LEADERSHIP DEVELOPMENT,NaN,URBAN PRINCIPALS LDRSHP PROG,NaN,ADMINISTRATOR,5.47E+02,SUPPORT SERVICES-INSTRUCTIONAL,NaN,INSTRUCTIONAL STAFF
115824,Curriculum Development,NO_LABEL,Leadership & Management,Non-School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,NaN,MISCELLANEOUS,NaN,NaN,NaN,NaN,ADMIN. SERVICES,NaN,IMPROVEMENT OF INSTR SERV,NaN,NaN,1.75E+03,Misc,General Fund,NaN
115998,Curriculum Development,NO_LABEL,Leadership & Management,Non-School,NO_LABEL,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating,TRAVEL - EMPLOYEES,NaN,SMALLER LEARNING COMMUNITIES,NaN,NaN,NaN,NaN,ADMIN. SERVICES,NaN,IMPROVEMENT OF INSTR SERV,NaN,NaN,3.55E+02,RESERVED FOR NON DOE DIRECT FEDERAL FUNDS FOR K-12,RESERVED FOR NON DOE DIRECT FEDERAL FUNDS FOR K-12,NaN
116069,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,BONUSES,NaN,NaN,CLERICAL ASST I,NaN,NaN,NaN,School,NaN,SCH ADMIN (OFFICE OF PRINC),NaN,NaN,1.16E+02,NaN,GENERAL FUND,CLASSIFIED CLERICAL BONUS
116075,School Administration,Leadership,School Reported,School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,NaN,GENERAL FUND,"Mgr, Schl Office Elem",Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,ADMINISTRATOR,1.18E+03,SUPPORT SERVICES-SCHOOL ADMIN,NaN,SCHOOL ADMINISTRATION
116118,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,NaN,LEVY OVERRIDE,"Teacher, Summer School",n/a,NaN,NaN,ALL SCHOOLS-UNDISTRIBUTED,NaN,EXTENDED LEARNING,NaN,PROFESSIONAL-INSTRUCTIONAL,1.20E+03,INSTRUCTIONAL STAFF TRAINING,NaN,INSTRUCTIONAL STAFF
116413,Aides Compensation,Instruction,School Reported,School,NO_LABEL,TA,NO_LABEL,NO_LABEL,PreK-12 Operating,NaN,NaN,NaN,Instructional Paraprofessional,NaN,NaN,NaN,NaN,1,NaN,NaN,SCHOOL ASST - KDG,2.69E+04,KINDERGARTEN,General Fund,NaN
116542,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Nurse,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Health Services,NaN,NaN,NURSE (SCHOOL),NaN,Health Services,NaN,District Wide Resources,1,NaN,HEALTH SERVICES,SCHOOL NURSE,3.57E+04,Principal's Office,General Purpose School,NaN
116868,Curriculum Development,ISPD,Shared Services,Non-School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,NaN,GENERAL FUND,"Teacher, Secondary (High)",n/a,NaN,NaN,LEADERSHIP DEVELOPMENT,NaN,NON-PROJECT,NaN,UNDESIGNATED,-7.63E+01,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
116895,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,NaN,Operations,"TEACHER, VOCATIONAL EDUCATION",NaN,transportation - aides,Extra Duty Pay/Overtime For Support Personnel,Unallocated,NaN,Transportation,Transportation Department,BUS DRIVER,8.19E+03,Undistributed,General Operating Fund,ADDL REGULAR PAY-NOT SMOOTHED
